estacion,start,end
CENTRO,2023-01-09 00:00:00,2023-05-12 00:00:00
CENTRO,2023-08-07 00:00:00,2023-12-01 00:00:00
CENTRO,2024-01-15 00:00:00,2024-05-10 00:00:00
CENTRO,2024-08-05 00:00:00,2024-11-29 00:00:00
CENTRO,2025-01-06 00:00:00,2025-05-09 00:00:00
SUROESTE2,2023-01-09 00:00:00,2023-05-12 00:00:00
SUROESTE2,2023-08-07 00:00:00,2023-12-06 00:00:00
SUROESTE2,2024-01-10 00:00:00,2024-05-24 00:00:00
SUROESTE2,2024-08-05 00:00:00,2024-12-05 00:00:00
SUROESTE2,2025-01-13 00:00:00,2025-05-23 00:00:00
SUR,2023-01-23 00:00:00,2023-06-30 00:00:00
SUR,2023-08-07 00:00:00,2023-12-06 00:00:00
SUR,2024-01-22 00:00:00,2024-06-28 00:00:00
SUR,2024-08-05 00:00:00,2024-12-05 00:00:00
SUR,2025-01-20 00:00:00,2025-06-27 00:00:00
NORTE2,2023-01-09 00:00:00,2023-07-01 00:00:00
NORTE2,2023-08-23 00:00:00,2023-12-15 00:00:00
NORTE2,2024-01-08 00:00:00,2024-07-16 00:00:00
NORTE2,2024-08-26 00:00:00,2024-12-18 00:00:00
NORTE2,2025-01-09 00:00:00,2025-07-16 00:00:00
